Frame	Phase
150	Preparation
175	Preparation
200	Preparation
225	Preparation
250	Preparation
275	Preparation
300	Preparation
325	Preparation
350	Preparation
375	Preparation
400	Preparation
625	CalotTriangleDissection
650	CalotTriangleDissection
675	CalotTriangleDissection
700	CalotTriangleDissection
725	CalotTriangleDissection
750	CalotTriangleDissection
775	CalotTriangleDissection
800	CalotTriangleDissection
8575	CalotTriangleDissection
8600	CalotTriangleDissection
8625	CalotTriangleDissection
8650	CalotTriangleDissection
8675	CalotTriangleDissection
8700	CalotTriangleDissection
8725	CalotTriangleDissection
8750	CalotTriangleDissection
19400	ClippingCutting
19425	ClippingCutting
19450	ClippingCutting
19475	ClippingCutting
19500	ClippingCutting
19525	ClippingCutting
19550	ClippingCutting
19575	ClippingCutting
