Frame	Grasper	Bipolar	Hook	Scissors	Clipper	Irrigator	SpecimenBag
150	0	0	0	0	0	0	0
175	1	0	0	0	0	0	0
200	1	0	0	0	0	0	0
225	1	0	0	0	0	0	0
250	1	0	0	0	0	0	0
275	1	0	0	0	0	0	0
300	1	0	0	0	0	0	0
325	1	0	0	0	0	0	0
350	1	0	0	0	0	0	0
375	1	0	0	0	0	0	0
400	1	0	0	0	0	0	0
625	1	0	1	0	0	0	0
650	1	0	1	0	0	0	0
675	1	0	1	0	0	0	0
700	1	0	1	0	0	0	0
725	1	0	1	0	0	0	0
750	1	0	1	0	0	0	0
775	1	0	1	0	0	0	0
800	1	0	1	0	0	0	0
8575	0	1	0	0	0	0	0
8600	0	1	0	0	0	0	0
8625	0	1	0	0	0	0	0
8650	0	1	0	0	0	0	0
8675	0	1	0	0	0	0	0
8700	0	1	0	0	0	0	0
8725	0	1	0	0	0	0	0
8750	0	1	0	0	0	0	0
19400	1	0	0	0	0	0	0
19425	0	0	0	0	0	0	0
19450	0	0	0	0	0	0	0
19475	0	0	0	0	0	0	0
19500	1	0	0	0	0	0	0
19525	1	0	0	0	0	0	0
19550	1	0	0	0	0	0	0
19575	1	0	0	0	0	0	0
